Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-04-26,2635,2931,1.38,2,1347,93,0,0,566
2018-04-27,3649,9971,4.7,19,1158,219,46,17,1752
2018-04-28,3379,3521,1.66,2,702,155,22,11,1124
2018-04-29,2851,1639,0.77,0,891,122,0,0,602
2018-04-30,2825,1323,0.62,0,880,104,0,0,540
2018-05-01,3292,2581,1.22,0,919,167,13,2,1068
2018-05-02,2660,1372,0.65,0,927,90,0,0,419
2018-05-03,3121,2232,1.05,0,876,157,16,0,1006
2018-05-04,2522,904,0.43,1,1012,61,0,0,269
2018-05-05,2551,833,0.39,0,969,68,0,0,326
2018-05-06,2771,1383,0.65,0,976,103,0,0,506
2018-05-07,2524,952,0.45,0,907,63,0,0,283
2018-05-08,2591,1187,0.56,2,1221,53,17,2,410
2018-05-09,2153,21,0.01,0,1438,2,0,0,8
2018-05-10,3081,1364,0.64,0,1295,136,5,4,924
2018-05-11,2950,2771,1.31,1,947,130,0,0,727
2018-05-12,3318,4125,1.95,2,756,184,4,7,1113
2018-05-13,2572,1689,0.8,0,895,84,0,0,394
2018-05-14,2966,3710,1.75,0,959,119,19,0,794
2018-05-15,3152,4313,2.03,0,767,183,9,0,1011
2018-05-16,3497,5882,2.77,1,825,234,5,6,1396
2018-05-17,3066,4080,1.92,4,867,158,0,0,897
2018-05-18,4376,13958,6.58,7,682,178,67,92,2549
2018-05-19,4112,14917,7.04,7,646,193,34,89,2228
2018-05-20,3098,4986,2.35,3,795,174,5,6,978
2018-05-21,3009,3989,1.88,3,727,182,0,0,932
2018-05-22,3581,4680,2.21,1,625,209,33,2,1460
2018-05-23,3772,6889,3.25,0,921,241,42,14,1765
2018-05-24,2756,3470,1.64,0,804,143,0,0,723
2018-05-25,3155,5389,2.54,1,821,145,32,13,1127
2018-05-26,3121,4092,1.93,2,1258,172,7,3,999
2018-05-27,3407,5347,2.52,2,825,209,21,6,1260
2018-05-28,3213,3875,1.83,2,668,164,0,0,922
2018-05-29,3466,6448,3.04,0,899,254,9,0,1427
2018-05-30,3324,5519,2.6,1,1201,217,19,3,1264
2018-05-31,3420,5879,2.77,3,735,230,5,6,1349
2018-06-01,3513,6916,3.26,0,690,279,10,2,1527
2018-06-02,2742,2946,1.39,3,717,171,0,0,752
2018-06-03,3765,6815,3.21,2,545,201,42,29,1834
2018-06-04,3585,6162,2.91,6,1171,225,36,8,1530
2018-06-05,3189,4486,2.12,4,823,177,10,0,1022
2018-06-06,2145,0,0.0,0,1440,0,0,0,0
2018-06-07,2146,0,0.0,0,1440,0,0,0,0
2018-06-08,2465,1929,0.91,1,1361,79,0,0,389
2018-06-09,2859,3130,1.48,7,835,127,24,1,780
2018-06-10,3432,7029,3.32,7,728,230,35,9,1549
2018-06-11,2146,0,0.0,0,1440,0,0,0,0
